,template,time_wait,input_data,sf,paylen,impl_head,has_crc,cr,frames,time,data_rate,load_1min,load_5min,load_15min,num_right,num_total,num_dec,num_per,threshold,noise,avg_snr,avg_signal_power,avg_noise_power
18,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.954509735107422,161.84054228472263,1.77,1.48,1.41,10,10,10,100.0,60,2.0,12.647047792452833,753.5779119716979,40.96685868867924
19,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6459133625030518,175.53900391111236,1.71,1.47,1.41,10,10,10,100.0,85,2.0,12.646172195876288,753.5446418659792,40.97338606185567
20,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.5972771644592285,177.91234056778885,1.65,1.47,1.41,10,10,10,100.0,10,2.5,11.724332181818179,757.9992182727271,50.96304581818181
21,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6190829277038574,176.84037994842265,1.76,1.49,1.42,10,10,10,100.0,35,2.5,11.724428419999999,758.03073485,50.96400951999999
22,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.65390682220459,175.1549864683892,1.76,1.49,1.42,10,10,10,100.0,60,2.5,11.723875234042548,758.0045718404252,50.96888612765957
23,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.623610258102417,176.61943598071997,1.7,1.48,1.42,10,10,10,100.0,85,2.5,11.72490404761905,758.063285333333,50.96050891428572
24,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.623610258102417,176.61943598071997,1.64,1.47,1.41,10,10,10,100.0,10,3.0,11.72490404761905,758.063285333333,50.96050891428572
25,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6151649951934814,177.03203058530045,1.64,1.47,1.41,11,10,11,100.0,35,3.0,10.971776647058823,762.549562343137,60.97009619607844
26,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.618882894515991,176.85015477285762,1.59,1.47,1.41,10,10,10,100.0,60,3.0,10.971004701030925,762.5322680927836,60.979731958762905
27,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.98372220993042,160.6537720940081,1.54,1.46,1.41,10,10,10,100.0,85,3.0,10.970817387096774,762.53250683871,60.982548892473105
28,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.9991350173950195,160.03460678776656,1.5,1.45,1.41,10,10,10,100.0,10,3.5,10.337226128440365,767.1659931743119,70.98989413761464
29,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.635040044784546,176.06408515863646,1.7,1.49,1.42,10,10,10,100.0,35,3.5,10.33706546728972,767.1446014018692,70.99063187850464
30,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.080977201461792,156.82518387281218,1.7,1.49,1.42,10,10,10,100.0,60,3.5,10.336674504950494,767.1544703168314,70.99822481188116
31,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.607193946838379,177.4232296439023,1.64,1.49,1.42,10,10,10,100.0,85,3.5,10.336702069999996,767.1495385000001,70.99737216999998
32,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6388843059539795,175.87808410199398,1.59,1.48,1.42,10,10,10,100.0,10,4.0,9.78864755319149,771.7402532340426,81.02986719148937
33,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.037822961807251,158.5012532876252,1.62,1.49,1.42,10,10,10,100.0,35,4.0,9.78962593457944,771.8110414299065,81.01816992523361
34,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.605745315551758,177.49451056336352,1.62,1.49,1.42,10,10,10,100.0,60,4.0,9.78881401030928,771.7562293711339,81.02821303092784
35,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.9701485633850098,161.2030355494622,1.65,1.49,1.42,10,10,10,100.0,85,4.0,9.788468055555557,771.7526407777779,81.0348327
36,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.607593297958374,177.40358935753423,1.52,1.47,1.41,11,10,11,100.0,10,4.5,9.308593438095238,776.4410766476188,91.05134055238094
37,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.9414925575256348,162.37503703464435,1.48,1.46,1.41,10,10,10,100.0,35,4.5,9.307485643678163,776.3985420114946,91.07118172413796
38,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.9414925575256348,162.37503703464435,1.48,1.46,1.41,10,10,10,100.0,60,4.5,9.307485643678163,776.3985420114946,91.07118172413796
39,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.935201644897461,162.63461386530204,1.44,1.45,1.41,10,10,10,100.0,85,4.5,9.308034249999999,776.4746843750003,91.06771942708332
40,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.633261203765869,176.15028595704626,1.41,1.45,1.41,10,10,10,100.0,10,5.0,8.741404804347829,753.9943304239131,100.75562313043483
41,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.633261203765869,176.15028595704626,1.37,1.44,1.4,10,10,10,100.0,35,5.0,8.741404804347829,753.9943304239131,100.75562313043483
42,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.631166458129883,176.25190345297796,1.37,1.44,1.41,10,10,10,100.0,60,5.0,8.88110264,781.2851165500001,101.09733932000003
43,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.035032749176025,158.61085641267505,1.42,1.45,1.41,10,10,10,100.0,85,5.0,8.881158971428569,781.1861130380954,101.08278279047622
44,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.035032749176025,158.61085641267505,1.39,1.44,1.41,10,10,10,100.0,10,5.5,8.881158971428569,781.1861130380954,101.08278279047622
45,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6215081214904785,176.7219563038284,1.52,1.47,1.41,9,10,9,90.0,35,5.5,8.346189693181817,758.0635694545454,110.96159546590906
46,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6019649505615234,177.68079611663853,1.48,1.46,1.41,9,10,9,90.0,60,5.5,8.347113021052632,758.0372269052632,110.93257584210524
47,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6019649505615234,177.68079611663853,1.48,1.46,1.41,9,10,9,90.0,85,5.5,8.347113021052632,758.0372269052632,110.93257584210524
48,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6186773777008057,176.86019868580712,1.6,1.48,1.42,8,10,8,80.0,10,6.0,8.280271157894736,812.292500410526,120.70728353684214
