,template,mean,source_data,bw,paylen,impl_head,has_crc,cr,frames,frame_period,delay_sf1,delay_sf2,delay_sf3,delay_sf4,delay_sf5,delay_sf6,num_right,num_total,num_dec,time
0,lora_sim_multi1,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,0,10,200,0,0,0,0,0,0,6,10,8,7.646508693695068
1,lora_sim_multi2,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,0,10,200,0,0,0,0,0,0,7,20,14,3.999650001525879
2,lora_sim_multi3,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,0,10,200,0,0,0,0,0,0,19,30,22,4.3408873081207275
3,lora_sim_multi4,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,0,10,200,0,0,0,0,0,0,27,40,34,4.393554210662842
4,lora_sim_multi5,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,0,10,200,0,0,0,0,0,0,26,50,34,6.66256046295166
5,lora_sim_multi6,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,0,10,200,0,0,0,0,0,0,29,60,37,10.97816801071167
